Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,31530,3157,39858,493,7,0,88,21232,278,0,278,200,33,167,610,214,3,0,0,0,21016,30,84,2810,40,0,40,174,26,148,342,172,3,0,0,0,4987,7,699,36865,2091,0,2091,0,0,0,2924,397,1,0,0,0,77297,1,232,176,15,0,15,0,0,0,316,282,1,0,0,0,675,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_qhe
0.0002,0.5,33787,1678,46649,270,7,0,96,23408,486,0,486,316,45,271,910,150,3,0,0,0,25194,27,61,1329,28,0,28,245,21,224,344,92,3,0,0,0,3090,2,610,43507,2395,0,2395,0,0,0,3077,173,1,0,0,0,91032,0,88,145,20,0,20,0,0,0,124,83,1,0,0,0,412,0,0,0,1,0,1,0,0,0,4,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_qhe
0.0004,0.5,33897,1214,45118,224,19,4,558,20619,3011,0,3011,415,51,364,3800,142,264,0,0,0,33691,71,8,806,54,0,54,326,13,313,391,88,16,0,0,0,2382,6,58,41332,3606,0,3606,22,2,20,2741,180,989,0,0,0,89734,1,4,100,106,0,106,0,0,0,55,29,69,0,0,0,422,1,1,0,0,0,0,11,0,11,15,0,2,0,0,0,27,2,1,0,0,0,0,2,0,2,2,0,2,0,0,0,5,2,fiducial_qhe
0.0006,0.5,35833,1172,48134,202,35,8,471,20421,5518,0,5518,530,23,507,5135,144,1477,0,0,0,43739,114,22,611,89,0,89,431,17,414,497,81,63,0,0,0,2288,6,27,43380,4565,0,4565,84,19,65,3607,196,1093,0,1,0,95909,3,3,73,123,0,123,0,0,0,60,25,68,0,1,0,396,2,0,0,0,0,0,29,2,27,28,0,5,0,0,0,57,5,0,0,0,0,0,8,0,8,3,0,5,0,0,0,11,5,fiducial_qhe
0.0008,0.5,35418,1220,39369,208,47,5,585,18975,6327,0,6327,630,106,524,5410,98,2228,0,1,0,46521,96,28,565,87,0,87,523,97,426,579,69,75,0,1,0,2388,3,15,34457,4700,0,4700,98,5,93,3242,143,1602,0,1,0,78484,1,2,60,136,0,136,1,1,0,51,26,96,0,1,0,403,1,0,0,0,0,0,38,2,36,41,0,2,0,0,0,79,2,0,0,0,0,0,5,0,5,3,0,2,0,0,0,8,2,fiducial_qhe
0.001,0.5,35330,1112,37499,178,46,13,584,19493,5971,0,5971,548,112,436,5228,99,1976,0,0,0,47632,39,28,488,94,0,94,485,108,377,546,75,78,0,0,0,2176,1,10,32933,4310,0,4310,134,8,126,2963,165,1520,0,2,0,74743,3,1,52,115,0,115,1,0,1,44,29,80,0,2,0,342,3,0,0,3,0,3,31,0,31,29,0,8,0,3,0,63,11,0,0,3,0,3,9,0,9,2,0,8,0,3,0,14,11,fiducial_qhe
0.002,0.5,36041,1245,32596,132,84,20,401,22426,4615,0,4615,659,167,492,4525,57,1235,0,0,0,52550,50,83,469,146,0,146,537,139,398,646,44,130,0,0,0,2422,2,6,26850,5417,0,5417,206,20,186,3898,49,1741,0,6,0,64930,8,1,38,88,0,88,5,4,1,31,10,57,0,6,0,257,7,0,0,3,0,3,69,22,47,42,1,31,0,3,0,131,17,0,0,3,0,3,15,1,14,3,0,14,0,3,0,21,17,fiducial_qhe
0.004,0.5,38948,774,28511,148,265,44,565,26321,3248,0,3248,819,223,596,4619,29,85,0,0,0,58451,9,177,128,88,0,88,378,47,331,574,16,72,0,0,0,1523,0,26,22678,5501,0,5501,218,32,186,4449,6,1309,0,4,0,56829,6,22,26,91,0,91,8,2,6,43,3,75,0,4,0,291,4,0,0,10,0,10,250,180,70,59,3,184,0,19,0,483,39,0,0,10,0,10,33,11,22,3,1,22,0,19,0,48,39,fiducial_qhe
0.006,0.5,27340,4841,6001,1483,933,294,6217,9876,542,0,542,2071,1311,760,8884,26,0,0,0,0,37099,0,4010,130,0,0,0,697,345,352,4710,15,0,0,0,0,9663,0,2309,1376,1951,0,1951,313,295,18,2975,14,1607,0,10,0,11565,275,1074,151,58,0,58,199,193,6,1023,9,299,0,10,0,2686,275,96,0,11,0,11,824,764,60,547,46,374,0,11,0,1593,268,74,0,10,0,10,210,193,17,32,43,251,0,11,0,325,262,fiducial_qhe
0.008,0.5,25809,2272,6255,941,1103,224,6394,5901,1193,0,1193,2450,1790,660,10087,40,3,0,0,0,33093,0,1903,80,0,0,0,287,79,208,2191,7,0,0,0,0,4532,0,2056,1121,2407,0,2407,589,556,33,3139,5,1931,0,0,0,12232,2,612,130,38,0,38,161,153,8,780,0,31,0,0,0,1876,2,77,0,8,0,8,1013,961,52,757,31,331,0,11,0,1971,225,50,0,7,0,7,167,157,10,42,28,171,0,11,0,266,181,fiducial_qhe
0.01,0.5,25019,477,6045,512,981,193,5725,6204,451,0,451,2130,1602,528,8345,22,25,0,0,0,37131,0,171,197,0,0,0,109,12,97,280,1,0,0,0,0,952,0,2245,846,2246,0,2246,512,470,42,3164,10,1861,0,0,0,11568,1,344,94,32,0,32,41,33,8,392,3,26,0,0,0,1017,1,62,1,12,0,12,871,798,73,612,32,317,0,17,0,1731,159,47,0,11,0,11,134,114,20,38,32,138,0,17,0,228,156,fiducial_qhe
0.014,0.5,21109,53,6006,205,938,248,3499,3697,216,0,216,1476,1254,222,5250,8,304,0,0,0,33667,0,17,1,0,0,0,35,1,34,52,0,0,0,0,0,105,0,1033,207,3965,0,3965,515,489,26,1930,7,3630,0,0,0,11420,3,49,6,129,0,129,20,16,4,85,0,114,0,0,0,405,3,62,5,34,0,34,790,725,65,456,37,392,0,38,0,1536,239,47,0,32,0,32,169,152,17,14,34,196,0,38,0,260,235,fiducial_qhe
0.017,0.5,21115,48,5664,173,927,322,3007,3810,20,0,20,1347,1196,151,4889,12,62,0,0,0,35935,34,12,9,0,0,0,25,0,25,37,0,0,0,0,0,94,0,1947,246,2781,0,2781,406,385,21,2602,8,2742,0,0,0,10934,64,79,5,71,0,71,11,10,1,96,0,72,0,0,0,333,5,26,0,88,0,88,808,754,54,414,41,416,0,93,0,1520,324,22,0,86,0,86,213,198,15,9,41,220,0,93,0,327,315,fiducial_qhe
0.02,0.5,15964,10,4979,144,957,364,1471,3099,0,0,0,640,557,83,2755,20,5,0,0,0,27819,47,0,0,0,0,0,9,1,8,9,0,0,0,0,0,19,0,1843,235,1884,0,1884,242,238,4,2797,16,1884,0,0,0,9564,185,68,2,39,0,39,7,7,0,103,1,39,0,0,0,279,3,48,1,122,0,122,779,739,40,381,37,436,0,133,0,1428,472,32,0,117,0,117,214,202,12,8,37,223,0,133,0,284,442,fiducial_qhe
0.03,0.5,7865,2,4258,126,1027,544,245,2279,0,0,0,20,0,20,364,8,0,0,0,0,14492,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2344,61,124,0,124,134,131,3,4043,26,123,0,0,0,8414,19,81,2,0,0,0,5,5,0,124,1,0,0,0,0,247,3,102,0,228,0,228,695,673,22,326,61,443,0,256,0,1514,536,68,0,222,0,222,254,247,7,13,60,275,0,256,0,553,535,fiducial_qhe
0.0001,1.0,31985,3483,39815,481,79,50,171,21232,407,0,407,441,77,364,1051,476,17,1,0,0,21752,39,165,2810,68,0,68,389,56,333,654,354,17,1,0,0,5549,15,679,36865,2090,0,2090,0,0,0,2854,492,28,0,0,0,77198,29,236,176,23,0,23,0,0,0,277,262,28,0,0,0,632,29,6,0,67,0,67,0,0,0,4,18,30,0,43,0,100,49,6,0,44,0,44,0,0,0,0,14,7,0,43,0,50,49,fiducial_qhe
